[LLEGADA]Llega Cliente 1, tipo: PADRES MEDIANA EDAD, Dia 1, segund 17
[CAJA] El Cliente 259, tipo: PADRES MEDIANA EDAD compra ARROZ en la caja 1, Dia 1, segundo 31379
[CAJA] El Cliente 261, tipo: PADRES MEDIANA EDAD compra PAN en la caja 2, Dia 1, segundo 31380
[CAJA] El Cliente 259, tipo: PADRES MEDIANA EDAD compra TOMATE en la caja 1, Dia 1, segundo 31391
[LLEGADA]Llega Cliente 264, tipo: RAPIDOS, Dia 1, segund 31392
[CAJA] El Cliente 261, tipo: PADRES MEDIANA EDAD compra CARNE en la caja 2, Dia 1, segundo 31392
[LLEGADA]Llega Cliente 265, tipo: TERCERA EDAD, Dia 1, segund 31394
[CAJA] El Cliente 259, tipo: PADRES MEDIANA EDAD compra MANZANA en la caja 1, Dia 1, segundo 31397
[CAJA] El Cliente 261, tipo: PADRES MEDIANA EDAD compra MANZANA en la caja 2, Dia 1, segundo 31398
[SALIDA] El Cliente 261, tipo: PADRES MEDIANA EDAD abandona la Caja 2 habiendo pagado 48, Dia 1, segundos 31398
[CAJA] El Cliente 262, tipo: TERCERA EDAD compra LECHE en la caja 2, Dia 1, segundo 31437
[CAJA] El Cliente 262, tipo: TERCERA EDAD compra TOALLA NOVA en la caja 2, Dia 1, segundo 31443
[CAJA] El Cliente 259, tipo: PADRES MEDIANA EDAD compra PAN en la caja 1, Dia 1, segundo 31445
[SALIDA] El Cliente 259, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 89, Dia 1, segundos 31445
[CAJA] El Cliente 262, tipo: TERCERA EDAD compra MANZANA en la caja 2, Dia 1, segundo 31449
[CAJA] El Cliente 264, tipo: RAPIDOS entra a la cola de la caja 1. Productos: {'ARROZ': 2}, Dia 1, segundo31453
[CAJA] El Cliente 265, tipo: TERCERA EDAD entra a la cola de la caja 2. Productos: {'AGUA MINERAL': 2}, Dia 1, segundo31453
[CAJA] El Cliente 262, tipo: TERCERA EDAD compra CREMA en la caja 2, Dia 1, segundo 31458
[SALIDA] El Cliente 262, tipo: TERCERA EDAD abandona la Caja 2 habiendo pagado 44, Dia 1, segundos 31458
[CAJA] El Cliente 264, tipo: RAPIDOS compra ARROZ en la caja 1, Dia 1, segundo 31464
[SALIDA] El Cliente 264, tipo: RAPIDOS abandona la Caja 1 habiendo pagado 6, Dia 1, segundos 31464
[LLEGADA]Llega Cliente 266, tipo: PADRES MEDIANA EDAD, Dia 1, segund 31477
[CAJA] El Cliente 265, tipo: TERCERA EDAD compra AGUA MINERAL en la caja 2, Dia 1, segundo 31501
[SALIDA] El Cliente 265, tipo: TERCERA EDAD abandona la Caja 2 habiendo pagado 4, Dia 1, segundos 31501
[LLEGADA]Llega Cliente 267, tipo: PADRES MEDIANA EDAD, Dia 1, segund 31513
[LLEGADA]Llega Cliente 268, tipo: PADRES MEDIANA EDAD, Dia 1, segund 31608
[CAJA] El Cliente 266, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'CARNE': 3, 'PAPAS FRITAS': 2, 'YOGURT': 3}, Dia 1, segundo31691
[LLEGADA]Llega Cliente 269, tipo: RAPIDOS, Dia 1, segund 31730
[CAJA] El Cliente 266, tipo: PADRES MEDIANA EDAD compra CARNE en la caja 1, Dia 1, segundo 31757
[CAJA] El Cliente 266, tipo: PADRES MEDIANA EDAD compra PAPAS FRITAS en la caja 1, Dia 1, segundo 31763
[CAJA] El Cliente 266, tipo: PADRES MEDIANA EDAD compra YOGURT en la caja 1, Dia 1, segundo 31772
[SALIDA] El Cliente 266, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 34, Dia 1, segundos 31772
[LLEGADA]Llega Cliente 270, tipo: PADRES MEDIANA EDAD, Dia 1, segund 31802
[CAJA] El Cliente 269, tipo: RAPIDOS entra a la cola de la caja 1. Productos: {'SAL': 2}, Dia 1, segundo31806
[CAJA] El Cliente 269, tipo: RAPIDOS compra SAL en la caja 1, Dia 1, segundo 31832
[SALIDA] El Cliente 269, tipo: RAPIDOS abandona la Caja 1 habiendo pagado 4, Dia 1, segundos 31832
[CAJA] El Cliente 267, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'HARINA': 1, 'TOALLA NOVA': 4, 'PAN': 15, 'CARNE': 1, 'ZAPATOS': 1, 'TALLARINES': 3, 'PASTA DE DIENTES': 2}, Dia 1, segundo31881
[CAJA] El Cliente 268, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 2. Productos: {'BEBIDA': 3, 'LECHE': 6, 'TOALLA NOVA': 5, 'SAL': 1, 'LECHUGA': 2}, Dia 1, segundo31919
[LLEGADA]Llega Cliente 271, tipo: RAPIDOS, Dia 1, segund 31928
[CAJA] El Cliente 267, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 1, Dia 1, segundo 31940
[LLEGADA]Llega Cliente 272, tipo: TERCERA EDAD, Dia 1, segund 31943
[CAJA] El Cliente 268, tipo: PADRES MEDIANA EDAD compra BEBIDA en la caja 2, Dia 1, segundo 31950
[CAJA] El Cliente 267, tipo: PADRES MEDIANA EDAD compra TOALLA NOVA en la caja 1, Dia 1, segundo 31952
[CAJA] El Cliente 271, tipo: RAPIDOS entra a la cola de la caja 1. Productos: {'JUGO': 1}, Dia 1, segundo31959
[CAJA] El Cliente 270, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 2. Productos: {'LECHE': 2, 'YOGURT': 3, 'AGUA MINERAL': 2}, Dia 1, segundo31961
[CAJA] El Cliente 268, tipo: PADRES MEDIANA EDAD compra LECHE en la caja 2, Dia 1, segundo 31968
[CAJA] El Cliente 268, tipo: PADRES MEDIANA EDAD compra TOALLA NOVA en la caja 2, Dia 1, segundo 31983
[CAJA] El Cliente 268, tipo: PADRES MEDIANA EDAD compra SAL en la caja 2, Dia 1, segundo 31986
[CAJA] El Cliente 268, tipo: PADRES MEDIANA EDAD compra LECHUGA en la caja 2, Dia 1, segundo 31992
[SALIDA] El Cliente 268, tipo: PADRES MEDIANA EDAD abandona la Caja 2 habiendo pagado 35, Dia 1, segundos 31992
[CAJA] El Cliente 267, tipo: PADRES MEDIANA EDAD compra PAN en la caja 1, Dia 1, segundo 31997
[CAJA] El Cliente 267, tipo: PADRES MEDIANA EDAD compra CARNE en la caja 1, Dia 1, segundo 32000
[CAJA] El Cliente 267, tipo: PADRES MEDIANA EDAD compra ZAPATOS en la caja 1, Dia 1, segundo 32003
[CAJA] El Cliente 267, tipo: PADRES MEDIANA EDAD compra TALLARINES en la caja 1, Dia 1, segundo 32012
[CAJA] El Cliente 267, tipo: PADRES MEDIANA EDAD compra PASTA DE DIENTES en la caja 1, Dia 1, segundo 32018
[SALIDA] El Cliente 267, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 62, Dia 1, segundos 32018
[LLEGADA]Llega Cliente 273, tipo: PADRES JOVENES, Dia 1, segund 32035
[LLEGADA]Llega Cliente 274, tipo: RAPIDOS, Dia 1, segund 32044
[CAJA] El Cliente 270, tipo: PADRES MEDIANA EDAD compra LECHE en la caja 2, Dia 1, segundo 32045
[CAJA] El Cliente 270, tipo: PADRES MEDIANA EDAD compra YOGURT en la caja 2, Dia 1, segundo 32054
[CAJA] El Cliente 270, tipo: PADRES MEDIANA EDAD compra AGUA MINERAL en la caja 2, Dia 1, segundo 32060
[SALIDA] El Cliente 270, tipo: PADRES MEDIANA EDAD abandona la Caja 2 habiendo pagado 17, Dia 1, segundos 32060
[CAJA] El Cliente 271, tipo: RAPIDOS compra JUGO en la caja 1, Dia 1, segundo 32069
[SALIDA] El Cliente 271, tipo: RAPIDOS abandona la Caja 1 habiendo pagado 1, Dia 1, segundos 32069
[LLEGADA]Llega Cliente 275, tipo: JOVENES QUE VIVE CON PADRES, Dia 1, segund 32093
[CAJA] El Cliente 272, tipo: TERCERA EDAD entra a la cola de la caja 1. Productos: {'VINO': 2, 'HARINA': 2, 'PAN': 2, 'LECHUGA': 2}, Dia 1, segundo32103
[CAJA] El Cliente 274, tipo: RAPIDOS entra a la cola de la caja 2. Productos: {'YOGURT': 1}, Dia 1, segundo32104
[CAJA] El Cliente 274, tipo: RAPIDOS compra YOGURT en la caja 2, Dia 1, segundo 32135
[SALIDA] El Cliente 274, tipo: RAPIDOS abandona la Caja 2 habiendo pagado 3, Dia 1, segundos 32135
[CAJA] El Cliente 272, tipo: TERCERA EDAD compra VINO en la caja 1, Dia 1, segundo 32183
[CAJA] El Cliente 272, tipo: TERCERA EDAD compra HARINA en la caja 1, Dia 1, segundo 32189
[CAJA] El Cliente 272, tipo: TERCERA EDAD compra PAN en la caja 1, Dia 1, segundo 32195
[CAJA] El Cliente 272, tipo: TERCERA EDAD compra LECHUGA en la caja 1, Dia 1, segundo 32201
[SALIDA] El Cliente 272, tipo: TERCERA EDAD abandona la Caja 1 habiendo pagado 24, Dia 1, segundos 32201
[CAJA] El Cliente 275, tipo: JOVENES QUE VIVE CON PADRES entra a la cola de la caja 1. Productos: {'HARINA': 2, 'GALLETAS': 3}, Dia 1, segundo32216
[LLEGADA]Llega Cliente 276, tipo: JOVENES QUE VIVE CON PADRES, Dia 1, segund 32277
[LLEGADA]Llega Cliente 277, tipo: PADRES MEDIANA EDAD, Dia 1, segund 32279
[CAJA] El Cliente 275, tipo: JOVENES QUE VIVE CON PADRES compra HARINA en la caja 1, Dia 1, segundo 32282
[CAJA] El Cliente 275, tipo: JOVENES QUE VIVE CON PADRES compra GALLETAS en la caja 1, Dia 1, segundo 32291
[SALIDA] El Cliente 275, tipo: JOVENES QUE VIVE CON PADRES abandona la Caja 1 habiendo pagado 19, Dia 1, segundos 32291
[LLEGADA]Llega Cliente 278, tipo: PADRES MEDIANA EDAD, Dia 1, segund 32300
[CAJA] El Cliente 273, tipo: PADRES JOVENES entra a la cola de la caja 1. Productos: {'LECHE': 8, 'MANZANA': 8, 'QUESO': 2}, Dia 1, segundo32318
[CAJA] El Cliente 276, tipo: JOVENES QUE VIVE CON PADRES entra a la cola de la caja 2. Productos: {}, Dia 1, segundo32348
[CAJA] El Cliente 276, tipo: JOVENES QUE VIVE CON PADRES compra [] en la caja 2, Dia 1, segundo 32348
[SALIDA] El Cliente 276, tipo: JOVENES QUE VIVE CON PADRES abandona la Caja 2 habiendo pagado 0, Dia 1, segundos 32348
[LLEGADA]Llega Cliente 279, tipo: PADRES JOVENES, Dia 1, segund 32358
[CAJA] El Cliente 273, tipo: PADRES JOVENES compra LECHE en la caja 1, Dia 1, segundo 32383
[CAJA] El Cliente 273, tipo: PADRES JOVENES compra MANZANA en la caja 1, Dia 1, segundo 32407
[CAJA] El Cliente 273, tipo: PADRES JOVENES compra QUESO en la caja 1, Dia 1, segundo 32413
[SALIDA] El Cliente 273, tipo: PADRES JOVENES abandona la Caja 1 habiendo pagado 42, Dia 1, segundos 32413
[CAJA] El Cliente 278, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'HARINA': 1, 'CONSOLA VIDEOJUEGOS': 2, 'CONSERVAS': 1, 'ARROZ': 2}, Dia 1, segundo32493
[CAJA] El Cliente 278, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 1, Dia 1, segundo 32512
[CAJA] El Cliente 278, tipo: PADRES MEDIANA EDAD compra CONSOLA VIDEOJUEGOS en la caja 1, Dia 1, segundo 32518
[CAJA] El Cliente 278, tipo: PADRES MEDIANA EDAD compra CONSERVAS en la caja 1, Dia 1, segundo 32521
[CAJA] El Cliente 278, tipo: PADRES MEDIANA EDAD compra ARROZ en la caja 1, Dia 1, segundo 32527
[SALIDA] El Cliente 278, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 118, Dia 1, segundos 32527
[CAJA] El Cliente 279, tipo: PADRES JOVENES entra a la cola de la caja 1. Productos: {'LECHE': 8, 'MANZANA': 2}, Dia 1, segundo32550
[LLEGADA]Llega Cliente 280, tipo: PADRES JOVENES, Dia 1, segund 32596
[CAJA] El Cliente 279, tipo: PADRES JOVENES compra LECHE en la caja 1, Dia 1, segundo 32663
[CAJA] El Cliente 279, tipo: PADRES JOVENES compra MANZANA en la caja 1, Dia 1, segundo 32669
[SALIDA] El Cliente 279, tipo: PADRES JOVENES abandona la Caja 1 habiendo pagado 20, Dia 1, segundos 32669
[LLEGADA]Llega Cliente 281, tipo: PADRES MEDIANA EDAD, Dia 1, segund 32738
[CAJA] El Cliente 277, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'PAPAS FRITAS': 1, 'ARROZ': 2, 'BEBIDA': 2, 'AGUA MINERAL': 2, 'SAL': 1, 'LECHE': 8, 'HARINA': 1, 'GALLETAS': 3, 'PAN': 16, 'TOMATE': 1, 'MANZANA': 8, 'BOMBONES': 2}, Dia 1, segundo32800
[CAJA] El Cliente 280, tipo: PADRES JOVENES entra a la cola de la caja 2. Productos: {'TOMATE': 2, 'CARNE': 1, 'TALLARINES': 5, 'LECHUGA': 1}, Dia 1, segundo32813
[LLEGADA]Llega Cliente 282, tipo: PADRES MEDIANA EDAD, Dia 1, segund 32831
[CAJA] El Cliente 280, tipo: PADRES JOVENES compra TOMATE en la caja 2, Dia 1, segundo 32859
[CAJA] El Cliente 280, tipo: PADRES JOVENES compra CARNE en la caja 2, Dia 1, segundo 32862
[CAJA] El Cliente 280, tipo: PADRES JOVENES compra TALLARINES en la caja 2, Dia 1, segundo 32877
[CAJA] El Cliente 280, tipo: PADRES JOVENES compra LECHUGA en la caja 2, Dia 1, segundo 32880
[SALIDA] El Cliente 280, tipo: PADRES JOVENES abandona la Caja 2 habiendo pagado 23, Dia 1, segundos 32880
[CAJA] El Cliente 277, tipo: PADRES MEDIANA EDAD compra PAPAS FRITAS en la caja 1, Dia 1, segundo 32886
[CAJA] El Cliente 277, tipo: PADRES MEDIANA EDAD compra ARROZ en la caja 1, Dia 1, segundo 32892
[CAJA] El Cliente 277, tipo: PADRES MEDIANA EDAD compra BEBIDA en la caja 1, Dia 1, segundo 32898
[CAJA] El Cliente 277, tipo: PADRES MEDIANA EDAD compra AGUA MINERAL en la caja 1, Dia 1, segundo 32904
[CAJA] El Cliente 277, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 32907
[CAJA] El Cliente 277, tipo: PADRES MEDIANA EDAD compra LECHE en la caja 1, Dia 1, segundo 32931
[CAJA] El Cliente 277, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 1, Dia 1, segundo 32934
[CAJA] El Cliente 277, tipo: PADRES MEDIANA EDAD compra GALLETAS en la caja 1, Dia 1, segundo 32943
[LLEGADA]Llega Cliente 283, tipo: RAPIDOS, Dia 1, segund 32948
[CAJA] El Cliente 283, tipo: RAPIDOS entra a la cola de la caja 1. Productos: {}, Dia 1, segundo32968
[CAJA] El Cliente 277, tipo: PADRES MEDIANA EDAD compra PAN en la caja 1, Dia 1, segundo 32991
[CAJA] El Cliente 277, tipo: PADRES MEDIANA EDAD compra TOMATE en la caja 1, Dia 1, segundo 32994
[CAJA] El Cliente 281, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 2. Productos: {'SAL': 2, 'HARINA': 1, 'TOALLA NOVA': 2, 'CONSERVAS': 1, 'LECHUGA': 2, 'PAN': 10, 'CARNE': 3, 'CONSOLA VIDEOJUEGOS': 1}, Dia 1, segundo32999
[CAJA] El Cliente 277, tipo: PADRES MEDIANA EDAD compra MANZANA en la caja 1, Dia 1, segundo 33018
[CAJA] El Cliente 277, tipo: PADRES MEDIANA EDAD compra BOMBONES en la caja 1, Dia 1, segundo 33024
[SALIDA] El Cliente 277, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 126, Dia 1, segundos 33024
[CAJA] El Cliente 283, tipo: RAPIDOS compra [] en la caja 1, Dia 1, segundo 33024
[SALIDA] El Cliente 283, tipo: RAPIDOS abandona la Caja 1 habiendo pagado 0, Dia 1, segundos 33024
[CAJA] El Cliente 281, tipo: PADRES MEDIANA EDAD compra SAL en la caja 2, Dia 1, segundo 33049
[CAJA] El Cliente 281, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 2, Dia 1, segundo 33052
[CAJA] El Cliente 281, tipo: PADRES MEDIANA EDAD compra TOALLA NOVA en la caja 2, Dia 1, segundo 33058
[CAJA] El Cliente 281, tipo: PADRES MEDIANA EDAD compra CONSERVAS en la caja 2, Dia 1, segundo 33061
[CAJA] El Cliente 281, tipo: PADRES MEDIANA EDAD compra LECHUGA en la caja 2, Dia 1, segundo 33067
[CAJA] El Cliente 282, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'SAL': 1, 'LECHE': 5, 'HARINA': 1, 'GALLETAS': 3, 'ARROZ': 1, 'TALLARINES': 4}, Dia 1, segundo33078
[LLEGADA]Llega Cliente 284, tipo: PADRES MEDIANA EDAD, Dia 1, segund 33081
[CAJA] El Cliente 281, tipo: PADRES MEDIANA EDAD compra PAN en la caja 2, Dia 1, segundo 33097
[CAJA] El Cliente 281, tipo: PADRES MEDIANA EDAD compra CARNE en la caja 2, Dia 1, segundo 33106
[CAJA] El Cliente 281, tipo: PADRES MEDIANA EDAD compra CONSOLA VIDEOJUEGOS en la caja 2, Dia 1, segundo 33109
[SALIDA] El Cliente 281, tipo: PADRES MEDIANA EDAD abandona la Caja 2 habiendo pagado 103, Dia 1, segundos 33109
[CAJA] El Cliente 282, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 33151
[CAJA] El Cliente 282, tipo: PADRES MEDIANA EDAD compra LECHE en la caja 1, Dia 1, segundo 33166
[CAJA] El Cliente 282, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 1, Dia 1, segundo 33169
[CAJA] El Cliente 282, tipo: PADRES MEDIANA EDAD compra GALLETAS en la caja 1, Dia 1, segundo 33178
[CAJA] El Cliente 282, tipo: PADRES MEDIANA EDAD compra ARROZ en la caja 1, Dia 1, segundo 33181
[CAJA] El Cliente 282, tipo: PADRES MEDIANA EDAD compra TALLARINES en la caja 1, Dia 1, segundo 33193
[SALIDA] El Cliente 282, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 40, Dia 1, segundos 33193
[LLEGADA]Llega Cliente 285, tipo: RAPIDOS, Dia 1, segund 33265
[CAJA] El Cliente 285, tipo: RAPIDOS entra a la cola de la caja 1. Productos: {}, Dia 1, segundo33287
[CAJA] El Cliente 285, tipo: RAPIDOS compra [] en la caja 1, Dia 1, segundo 33287
[SALIDA] El Cliente 285, tipo: RAPIDOS abandona la Caja 1 habiendo pagado 0, Dia 1, segundos 33287
[CAJA] El Cliente 284, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'SAL': 2, 'BOMBONES': 1, 'GALLETAS': 2, 'ARROZ': 3, 'TOMATE': 1, 'MANZANA': 2}, Dia 1, segundo33289
[CAJA] El Cliente 284, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 33295
[CAJA] El Cliente 284, tipo: PADRES MEDIANA EDAD compra BOMBONES en la caja 1, Dia 1, segundo 33298
[CAJA] El Cliente 284, tipo: PADRES MEDIANA EDAD compra GALLETAS en la caja 1, Dia 1, segundo 33304
[CAJA] El Cliente 284, tipo: PADRES MEDIANA EDAD compra ARROZ en la caja 1, Dia 1, segundo 33313
[CAJA] El Cliente 284, tipo: PADRES MEDIANA EDAD compra TOMATE en la caja 1, Dia 1, segundo 33316
[CAJA] El Cliente 284, tipo: PADRES MEDIANA EDAD compra MANZANA en la caja 1, Dia 1, segundo 33322
[SALIDA] El Cliente 284, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 49, Dia 1, segundos 33322
[LLEGADA]Llega Cliente 286, tipo: PADRES MEDIANA EDAD, Dia 1, segund 33487
[LLEGADA]Llega Cliente 287, tipo: PADRES MEDIANA EDAD, Dia 1, segund 33506
[LLEGADA]Llega Cliente 288, tipo: PADRES JOVENES, Dia 1, segund 33595
[LLEGADA]Llega Cliente 289, tipo: PADRES JOVENES, Dia 1, segund 33629
[LLEGADA]Llega Cliente 290, tipo: PADRES MEDIANA EDAD, Dia 1, segund 33670
[CAJA] El Cliente 286, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'SAL': 2, 'PAN': 10, 'AGUA MINERAL': 1}, Dia 1, segundo33670
[LLEGADA]Llega Cliente 291, tipo: PADRES MEDIANA EDAD, Dia 1, segund 33674
[CAJA] El Cliente 286, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 33676
[CAJA] El Cliente 287, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 2. Productos: {'LECHE': 6, 'ARROZ': 2, 'HARINA': 1}, Dia 1, segundo33684
[CAJA] El Cliente 286, tipo: PADRES MEDIANA EDAD compra PAN en la caja 1, Dia 1, segundo 33706
[CAJA] El Cliente 286, tipo: PADRES MEDIANA EDAD compra AGUA MINERAL en la caja 1, Dia 1, segundo 33709
[SALIDA] El Cliente 286, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 16, Dia 1, segundos 33709
[CAJA] El Cliente 288, tipo: PADRES JOVENES entra a la cola de la caja 1. Productos: {'LECHE': 3, 'POLERA': 2, 'HARINA': 1}, Dia 1, segundo33730
[CAJA] El Cliente 287, tipo: PADRES MEDIANA EDAD compra LECHE en la caja 2, Dia 1, segundo 33779
[CAJA] El Cliente 287, tipo: PADRES MEDIANA EDAD compra ARROZ en la caja 2, Dia 1, segundo 33785
[CAJA] El Cliente 287, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 2, Dia 1, segundo 33788
[SALIDA] El Cliente 287, tipo: PADRES MEDIANA EDAD abandona la Caja 2 habiendo pagado 20, Dia 1, segundos 33788
[CAJA] El Cliente 288, tipo: PADRES JOVENES compra LECHE en la caja 1, Dia 1, segundo 33804
[CAJA] El Cliente 288, tipo: PADRES JOVENES compra POLERA en la caja 1, Dia 1, segundo 33810
[CAJA] El Cliente 288, tipo: PADRES JOVENES compra HARINA en la caja 1, Dia 1, segundo 33813
[SALIDA] El Cliente 288, tipo: PADRES JOVENES abandona la Caja 1 habiendo pagado 28, Dia 1, segundos 33813
[CAJA] El Cliente 289, tipo: PADRES JOVENES entra a la cola de la caja 1. Productos: {'LECHE': 6, 'HARINA': 2, 'QUESO': 2, 'YOGURT': 1, 'BOMBONES': 1}, Dia 1, segundo33871
[LLEGADA]Llega Cliente 292, tipo: PADRES MEDIANA EDAD, Dia 1, segund 33905
[CAJA] El Cliente 291, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 2. Productos: {'PAN': 20}, Dia 1, segundo33913
[CAJA] El Cliente 290, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'SAL': 2, 'LECHE': 2, 'CARNE': 5, 'YOGURT': 1, 'PAN': 5}, Dia 1, segundo33926
[CAJA] El Cliente 289, tipo: PADRES JOVENES compra LECHE en la caja 1, Dia 1, segundo 33930
[CAJA] El Cliente 289, tipo: PADRES JOVENES compra HARINA en la caja 1, Dia 1, segundo 33936
[CAJA] El Cliente 289, tipo: PADRES JOVENES compra QUESO en la caja 1, Dia 1, segundo 33942
[CAJA] El Cliente 289, tipo: PADRES JOVENES compra YOGURT en la caja 1, Dia 1, segundo 33945
[CAJA] El Cliente 289, tipo: PADRES JOVENES compra BOMBONES en la caja 1, Dia 1, segundo 33948
[SALIDA] El Cliente 289, tipo: PADRES JOVENES abandona la Caja 1 habiendo pagado 49, Dia 1, segundos 33948
[CAJA] El Cliente 290, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 34043
[LLEGADA]Llega Cliente 293, tipo: PADRES MEDIANA EDAD, Dia 1, segund 34047
[CAJA] El Cliente 290, tipo: PADRES MEDIANA EDAD compra LECHE en la caja 1, Dia 1, segundo 34049
[CAJA] El Cliente 291, tipo: PADRES MEDIANA EDAD compra PAN en la caja 2, Dia 1, segundo 34049
[SALIDA] El Cliente 291, tipo: PADRES MEDIANA EDAD abandona la Caja 2 habiendo pagado 20, Dia 1, segundos 34049
[CAJA] El Cliente 290, tipo: PADRES MEDIANA EDAD compra CARNE en la caja 1, Dia 1, segundo 34064
[CAJA] El Cliente 290, tipo: PADRES MEDIANA EDAD compra YOGURT en la caja 1, Dia 1, segundo 34067
[LLEGADA]Llega Cliente 294, tipo: PADRES MEDIANA EDAD, Dia 1, segund 34072
[CAJA] El Cliente 290, tipo: PADRES MEDIANA EDAD compra PAN en la caja 1, Dia 1, segundo 34082
[SALIDA] El Cliente 290, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 41, Dia 1, segundos 34082
[CAJA] El Cliente 292, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'LECHE': 6, 'MANZANA': 3, 'HARINA': 2}, Dia 1, segundo34118
[CAJA] El Cliente 292, tipo: PADRES MEDIANA EDAD compra LECHE en la caja 1, Dia 1, segundo 34185
[LLEGADA]Llega Cliente 295, tipo: TERCERA EDAD, Dia 1, segund 34192
[CAJA] El Cliente 292, tipo: PADRES MEDIANA EDAD compra MANZANA en la caja 1, Dia 1, segundo 34194
[CAJA] El Cliente 292, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 1, Dia 1, segundo 34200
[SALIDA] El Cliente 292, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 22, Dia 1, segundos 34200
[CAJA] El Cliente 293, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'SAL': 1, 'PAN': 14, 'PAPAS FRITAS': 2, 'MANZANA': 7}, Dia 1, segundo34260
[CAJA] El Cliente 293, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 34284
[CAJA] El Cliente 293, tipo: PADRES MEDIANA EDAD compra PAN en la caja 1, Dia 1, segundo 34326
[CAJA] El Cliente 293, tipo: PADRES MEDIANA EDAD compra PAPAS FRITAS en la caja 1, Dia 1, segundo 34332
[CAJA] El Cliente 293, tipo: PADRES MEDIANA EDAD compra MANZANA en la caja 1, Dia 1, segundo 34353
[SALIDA] El Cliente 293, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 40, Dia 1, segundos 34353
[LLEGADA]Llega Cliente 296, tipo: RAPIDOS, Dia 1, segund 34404
[LLEGADA]Llega Cliente 297, tipo: JOVENES QUE VIVE CON PADRES, Dia 1, segund 34438
[CAJA] El Cliente 294, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'SAL': 1, 'LECHE': 10, 'HARINA': 2, 'BEBIDA': 3, 'TOMATE': 1, 'PASTA DE DIENTES': 2, 'TALLARINES': 4, 'PAN': 14}, Dia 1, segundo34492
[CAJA] El Cliente 294, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 34509
[LLEGADA]Llega Cliente 298, tipo: PADRES JOVENES, Dia 1, segund 34512
[CAJA] El Cliente 295, tipo: TERCERA EDAD entra a la cola de la caja 2. Productos: {'LECHE': 6, 'YOGURT': 1, 'LECHUGA': 2, 'VINO': 3, 'TOMATE': 8, 'QUESO': 3}, Dia 1, segundo34535
[CAJA] El Cliente 294, tipo: PADRES MEDIANA EDAD compra LECHE en la caja 1, Dia 1, segundo 34539
[CAJA] El Cliente 294, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 1, Dia 1, segundo 34545
[CAJA] El Cliente 294, tipo: PADRES MEDIANA EDAD compra BEBIDA en la caja 1, Dia 1, segundo 34554
[CAJA] El Cliente 296, tipo: RAPIDOS entra a la cola de la caja 1. Productos: {'BEBIDA': 2, 'HARINA': 2, 'MANZANA': 1}, Dia 1, segundo34557
